date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:01	426/426	---M--	200	added ('OK')	text/plain	etag:%220937f322928d61:0%22	https://www.medrie.nl/robots.txt		(from )
10:30:01	33638/33638	---M--	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202024%2008:30:00%20GMT	https://www.medrie.nl/	www.medrie.nl/index.html	(from )
10:30:36	154/154	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Jul%202024%2008:30:02%20GMT	https://www.medrie.nl/patienten/	www.medrie.nl/patienten/index.html	(from https://www.medrie.nl/)
10:30:41	198/198	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Jul%202024%2008:30:02%20GMT	https://www.medrie.nl/liegt-ein-notfall-vor-notfallzentrum-nur-fur-notfalle/	www.medrie.nl/liegt-ein-notfall-vor-notfallzentrum-nur-fur-notfalle/index.html	(from https://www.medrie.nl/)
10:30:41	202/202	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Jul%202024%2008:30:02%20GMT	https://www.medrie.nl/patienten/met-spoed-een-huisarts-nodig-bel-0900-333-6-333/	www.medrie.nl/patienten/met-spoed-een-huisarts-nodig-bel-0900-333-6-333/index.html	(from https://www.medrie.nl/)
10:30:41	25062/25062	---M--	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202024%2008:30:41%20GMT	https://www.medrie.nl/liegt-ein-notfall-vor-notfallzentrum-nur-fur-notfalle	www.medrie.nl/liegt-ein-notfall-vor-notfallzentrum-nur-fur-notfalle.html	(from https://www.medrie.nl/liegt-ein-notfall-vor-notfallzentrum-nur-fur-notfalle/)
10:30:42	220/220	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Jul%202024%2008:30:02%20GMT	https://www.medrie.nl/need-to-see-a-gp-urgently-general-practitioners-clinic-for-emergencies-only/	www.medrie.nl/need-to-see-a-gp-urgently-general-practitioners-clinic-for-emergencies-only/index.html	(from https://www.medrie.nl/)
10:31:13	180/180	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Jul%202024%2008:30:37%20GMT	https://www.medrie.nl/patienten/informatie-voor-patienten/	www.medrie.nl/patienten/informatie-voor-patienten/index.html	(from https://www.medrie.nl/)
10:31:13	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Jul%202024%2008:30:42%20GMT	https://www.medrie.nl/clientenraad/	www.medrie.nl/clientenraad/index.html	(from https://www.medrie.nl/)
10:31:14	24985/24985	---M--	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202024%2008:31:13%20GMT	https://www.medrie.nl/need-to-see-a-gp-urgently-general-practitioners-clinic-for-emergencies-only	www.medrie.nl/need-to-see-a-gp-urgently-general-practitioners-clinic-for-emergencies-only.html	(from https://www.medrie.nl/need-to-see-a-gp-urgently-general-practitioners-clinic-for-emergencies-only/)
10:31:14	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Jul%202024%2008:30:42%20GMT	https://www.medrie.nl/klacht-compliment/	www.medrie.nl/klacht-compliment/index.html	(from https://www.medrie.nl/)
10:31:14	180/180	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Jul%202024%2008:30:41%20GMT	https://www.medrie.nl/patienten/uw-ervaringen-als-patient/	www.medrie.nl/patienten/uw-ervaringen-als-patient/index.html	(from https://www.medrie.nl/)
10:31:15	23534/23534	---M--	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202024%2008:31:15%20GMT	https://www.medrie.nl/patienten	www.medrie.nl/patienten.html	(from https://www.medrie.nl/patienten/)
10:31:48	158/158	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Jul%202024%2008:31:13%20GMT	https://www.medrie.nl/professionals/	www.medrie.nl/professionals/index.html	(from https://www.medrie.nl/)
10:31:51	159/159	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Jul%202024%2008:31:16%20GMT	https://www.medrie.nl/medrie-actueel/	www.medrie.nl/medrie-actueel/index.html	(from https://www.medrie.nl/)
10:31:51	186/186	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Jul%202024%2008:31:14%20GMT	https://www.medrie.nl/professionals/ondersteuning-dagpraktijken/	www.medrie.nl/professionals/ondersteuning-dagpraktijken/index.html	(from https://www.medrie.nl/)
